import_country,export_country,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,common_language,both_in_EU,both_in_EFTA,distance
17,19,-3.983813189995304,-3.983813189995304,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0
17,20,-5.19475664305753,-5.19475664305753,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1385.0
18,1,-4.026310775767061,-4.026310775767061,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10532.0
18,2,-2.9232432167004485,-2.923243216700448,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7253.0
18,3,-4.403995453775867,-4.403995453775867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4169.0
18,4,-4.60874529844512,-4.60874529844512,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8706.0
18,5,-4.254836080053449,-4.254836080053449,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3060.0
18,6,-4.954730969520556,-4.954730969520556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4947.0
18,7,-5.1206281500986535,-5.1206281500986535,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4686.0
18,8,-5.005271710085446,-5.005271710085446,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3679.0
18,9,-5.1800456824094825,-5.1800456824094825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11390.0
18,10,-6.160614541239879,-6.160614541239879,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10657.0
18,11,-6.280905797088637,-6.280905797088637,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13890.0
18,12,-6.646397660048874,-6.646397660048874,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12342.0
18,13,-4.9423920471190845,-4.9423920471190845,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7563.0
18,14,-5.59804858776495,-5.59804858776495,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4970.0
18,15,-5.612928605484437,-5.612928605484437,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7353.0
18,16,-5.406869588982005,-5.406869588982005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4663.0
18,17,-5.678465942791697,-5.678465942791697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2448.0
18,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0
18,19,-4.748601703642329,-4.748601703642329,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4198.0
18,20,-6.263992337966745,-6.263992337966745,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3750.0
19,1,-2.7925468159208973,-2.7925468159208973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6339.0
19,2,-3.259770891914614,-3.259770891914614,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9034.0
19,3,-1.9703620497791483,-1.970362049779148,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,674.0
19,4,-4.232663694216448,-4.232663694216447,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9605.0
19,5,-5.242439013134163,-5.242439013134163,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6166.0
19,6,-4.162046925175342,-4.162046925175341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0
19,7,-3.1615288740076504,-3.1615288740076504,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,487.0
19,8,-2.787508346918776,-2.787508346918776,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,684.0
19,9,-5.6999633615836895,-5.6999633615836895,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9597.0
19,10,-4.582842666077289,-4.582842666077289,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6497.0
19,11,-5.1480673915149335,-5.1480673915149335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9698.0
19,12,-4.542605957748048,-4.542605957748048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16344.0
19,13,-5.187460492811481,-5.18746049281148,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8796.0
19,14,-3.958984274470706,-3.958984274470707,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.0
19,15,-5.141909468061298,-5.141909468061298,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11143.0
19,16,-4.3174106663277465,-4.317410666327746,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0
19,17,-5.330906178996887,-5.330906178996887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0
19,18,-6.33966265017969,-6.33966265017969,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4198.0
19,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
19,20,-4.951339959676978,-4.951339959676977,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.0
20,1,-4.013842997941811,-4.013842997941811,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6872.0
20,2,-2.602834348485989,-2.602834348485989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7985.0
20,3,-1.6991574283339448,-1.6991574283339448,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,518.0
20,4,-4.798399600921442,-4.798399600921442,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8600.0
20,5,-5.365537521305453,-5.365537521305453,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5268.0
20,6,-4.121015299240591,-4.121015299240591,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1453.0
20,7,-3.475171857106124,-3.4751718571061243,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1371.0
20,8,-3.1642440721706966,-3.164244072170696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1317.0
20,9,-5.647883429188419,-5.647883429188419,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10641.0
20,10,-6.353903871013706,-6.353903871013706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6939.0
20,11,-9.044458497427192,-9.044458497427192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10197.0
20,12,-7.110511221933256,-7.110511221933255,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15448.0
20,13,-20.02348841252294,-20.02348841252294,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7760.0
20,14,-3.930219881545707,-3.930219881545707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2294.0
20,15,-6.466676277839992,-6.466676277839992,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10266.0
20,16,-3.1747553163294966,-3.174755316329497,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1098.0
20,17,-4.440945789005354,-4.440945789005354,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1385.0
20,18,-7.832472370896285,-7.832472370896285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3750.0
20,19,-5.007970662589787,-5.007970662589787,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.0
20,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,210.0
